"","Passenger.Name","Passenger.Sex","Passsenger.Age","Passenger.Survived","Passenger.Class"
"1","Allen, Miss. Elisabeth Walton","Female",29,"YES","1st Class"
"2","Allison, Master. Hudson Trevor","Male",0,"YES","1st Class"
"3","Allison, Miss. Helen Loraine","Female",2,"NO","1st Class"
"4","Allison, Mr. Hudson Joshua Creighton","Male",30,"NO","1st Class"
"5","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)","Female",25,"NO","1st Class"
"6","Anderson, Mr. Harry","Male",48,"YES","1st Class"
"7","Andrews, Miss. Kornelia Theodosia","Female",63,"YES","1st Class"
"8","Andrews, Mr. Thomas Jr","Male",39,"NO","1st Class"
"9","Appleton, Mrs. Edward Dale (Charlotte Lamson)","Female",53,"YES","1st Class"
"10","Artagaveytia, Mr. Ramon","Male",71,"NO","1st Class"
"11","Astor, Col. John Jacob","Male",47,"NO","1st Class"
"12","Astor, Mrs. John Jacob (Madeleine Talmadge Force)","Female",18,"YES","1st Class"
"13","Aubart, Mme. Leontine Pauline","Female",24,"YES","1st Class"
"14","Barber, Miss. Ellen ""Nellie""","Female",26,"YES","1st Class"
"15","Barkworth, Mr. Algernon Henry Wilson","Male",80,"YES","1st Class"
"16","Baumann, Mr. John D","Male",NA,"NO","1st Class"
"17","Baxter, Mr. Quigg Edmond","Male",24,"NO","1st Class"
"18","Baxter, Mrs. James (Helene DeLaudeniere Chaput)","Female",50,"YES","1st Class"
"19","Bazzani, Miss. Albina","Female",32,"YES","1st Class"
"20","Beattie, Mr. Thomson","Male",36,"NO","1st Class"
"21","Beckwith, Mr. Richard Leonard","Male",37,"YES","1st Class"
"22","Beckwith, Mrs. Richard Leonard (Sallie Monypeny)","Female",47,"YES","1st Class"
"23","Behr, Mr. Karl Howell","Male",26,"YES","1st Class"
"24","Bidois, Miss. Rosalie","Female",42,"YES","1st Class"
"25","Bird, Miss. Ellen","Female",29,"YES","1st Class"
"26","Birnbaum, Mr. Jakob","Male",25,"NO","1st Class"
"27","Bishop, Mr. Dickinson H","Male",25,"YES","1st Class"
"28","Bishop, Mrs. Dickinson H (Helen Walton)","Female",19,"YES","1st Class"
"29","Bissette, Miss. Amelia","Female",35,"YES","1st Class"
"30","Bjornstrom-Steffansson, Mr. Mauritz Hakan","Male",28,"YES","1st Class"
"31","Blackwell, Mr. Stephen Weart","Male",45,"NO","1st Class"
"32","Blank, Mr. Henry","Male",40,"YES","1st Class"
"33","Bonnell, Miss. Caroline","Female",30,"YES","1st Class"
"34","Bonnell, Miss. Elizabeth","Female",58,"YES","1st Class"
"35","Borebank, Mr. John James","Male",42,"NO","1st Class"
"36","Bowen, Miss. Grace Scott","Female",45,"YES","1st Class"
"37","Bowerman, Miss. Elsie Edith","Female",22,"YES","1st Class"
"38","Bradley, Mr. George (""George Arthur Brayton"")","Male",NA,"YES","1st Class"
"39","Brady, Mr. John Bertram","Male",41,"NO","1st Class"
"40","Brandeis, Mr. Emil","Male",48,"NO","1st Class"
"41","Brewe, Dr. Arthur Jackson","Male",NA,"NO","1st Class"
"42","Brown, Mrs. James Joseph (Margaret Tobin)","Female",44,"YES","1st Class"
"43","Brown, Mrs. John Murray (Caroline Lane Lamson)","Female",59,"YES","1st Class"
"44","Bucknell, Mrs. William Robert (Emma Eliza Ward)","Female",60,"YES","1st Class"
"45","Burns, Miss. Elizabeth Margaret","Female",41,"YES","1st Class"
"46","Butt, Major. Archibald Willingham","Male",45,"NO","1st Class"
"47","Cairns, Mr. Alexander","Male",NA,"NO","1st Class"
"48","Calderhead, Mr. Edward Pennington","Male",42,"YES","1st Class"
"49","Candee, Mrs. Edward (Helen Churchill Hungerford)","Female",53,"YES","1st Class"
"50","Cardeza, Mr. Thomas Drake Martinez","Male",36,"YES","1st Class"
"51","Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)","Female",58,"YES","1st Class"
"52","Carlsson, Mr. Frans Olof","Male",33,"NO","1st Class"
"53","Carrau, Mr. Francisco M","Male",28,"NO","1st Class"
"54","Carrau, Mr. Jose Pedro","Male",17,"NO","1st Class"
"55","Carter, Master. William Thornton II","Male",11,"YES","1st Class"
"56","Carter, Miss. Lucile Polk","Female",14,"YES","1st Class"
"57","Carter, Mr. William Ernest","Male",36,"YES","1st Class"
"58","Carter, Mrs. William Ernest (Lucile Polk)","Female",36,"YES","1st Class"
"59","Case, Mr. Howard Brown","Male",49,"NO","1st Class"
"60","Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)","Female",NA,"YES","1st Class"
"61","Cavendish, Mr. Tyrell William","Male",36,"NO","1st Class"
"62","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)","Female",76,"YES","1st Class"
"63","Chaffee, Mr. Herbert Fuller","Male",46,"NO","1st Class"
"64","Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)","Female",47,"YES","1st Class"
"65","Chambers, Mr. Norman Campbell","Male",27,"YES","1st Class"
"66","Chambers, Mrs. Norman Campbell (Bertha Griggs)","Female",33,"YES","1st Class"
"67","Chaudanson, Miss. Victorine","Female",36,"YES","1st Class"
"68","Cherry, Miss. Gladys","Female",30,"YES","1st Class"
"69","Chevre, Mr. Paul Romaine","Male",45,"YES","1st Class"
"70","Chibnall, Mrs. (Edith Martha Bowerman)","Female",NA,"YES","1st Class"
"71","Chisholm, Mr. Roderick Robert Crispin","Male",NA,"NO","1st Class"
"72","Clark, Mr. Walter Miller","Male",27,"NO","1st Class"
"73","Clark, Mrs. Walter Miller (Virginia McDowell)","Female",26,"YES","1st Class"
"74","Cleaver, Miss. Alice","Female",22,"YES","1st Class"
"75","Clifford, Mr. George Quincy","Male",NA,"NO","1st Class"
"76","Colley, Mr. Edward Pomeroy","Male",47,"NO","1st Class"
"77","Compton, Miss. Sara Rebecca","Female",39,"YES","1st Class"
"78","Compton, Mr. Alexander Taylor Jr","Male",37,"NO","1st Class"
"79","Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)","Female",64,"YES","1st Class"
"80","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)","Female",55,"YES","1st Class"
"81","Crafton, Mr. John Bertram","Male",NA,"NO","1st Class"
"82","Crosby, Capt. Edward Gifford","Male",70,"NO","1st Class"
"83","Crosby, Miss. Harriet R","Female",36,"YES","1st Class"
"84","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)","Female",64,"YES","1st Class"
"85","Cumings, Mr. John Bradley","Male",39,"NO","1st Class"
"86","Cumings, Mrs. John Bradley (Florence Briggs Thayer)","Female",38,"YES","1st Class"
"87","Daly, Mr. Peter Denis ","Male",51,"YES","1st Class"
"88","Daniel, Mr. Robert Williams","Male",27,"YES","1st Class"
"89","Daniels, Miss. Sarah","Female",33,"YES","1st Class"
"90","Davidson, Mr. Thornton","Male",31,"NO","1st Class"
"91","Davidson, Mrs. Thornton (Orian Hays)","Female",27,"YES","1st Class"
"92","Dick, Mr. Albert Adrian","Male",31,"YES","1st Class"
"93","Dick, Mrs. Albert Adrian (Vera Gillespie)","Female",17,"YES","1st Class"
"94","Dodge, Dr. Washington","Male",53,"YES","1st Class"
"95","Dodge, Master. Washington","Male",4,"YES","1st Class"
"96","Dodge, Mrs. Washington (Ruth Vidaver)","Female",54,"YES","1st Class"
"97","Douglas, Mr. Walter Donald","Male",50,"NO","1st Class"
"98","Douglas, Mrs. Frederick Charles (Mary Helene Baxter)","Female",27,"YES","1st Class"
"99","Douglas, Mrs. Walter Donald (Mahala Dutton)","Female",48,"YES","1st Class"
"100","Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")","Female",48,"YES","1st Class"
"101","Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")","Male",49,"YES","1st Class"
"102","Dulles, Mr. William Crothers","Male",39,"NO","1st Class"
"103","Earnshaw, Mrs. Boulton (Olive Potter)","Female",23,"YES","1st Class"
"104","Endres, Miss. Caroline Louise","Female",38,"YES","1st Class"
"105","Eustis, Miss. Elizabeth Mussey","Female",54,"YES","1st Class"
"106","Evans, Miss. Edith Corse","Female",36,"NO","1st Class"
"107","Farthing, Mr. John","Male",NA,"NO","1st Class"
"108","Flegenheim, Mrs. Alfred (Antoinette)","Female",NA,"YES","1st Class"
"109","Fleming, Miss. Margaret","Female",NA,"YES","1st Class"
"110","Flynn, Mr. John Irwin (""Irving"")","Male",36,"YES","1st Class"
"111","Foreman, Mr. Benjamin Laventall","Male",30,"NO","1st Class"
"112","Fortune, Miss. Alice Elizabeth","Female",24,"YES","1st Class"
"113","Fortune, Miss. Ethel Flora","Female",28,"YES","1st Class"
"114","Fortune, Miss. Mabel Helen","Female",23,"YES","1st Class"
"115","Fortune, Mr. Charles Alexander","Male",19,"NO","1st Class"
"116","Fortune, Mr. Mark","Male",64,"NO","1st Class"
"117","Fortune, Mrs. Mark (Mary McDougald)","Female",60,"YES","1st Class"
"118","Francatelli, Miss. Laura Mabel","Female",30,"YES","1st Class"
"119","Franklin, Mr. Thomas Parham","Male",NA,"NO","1st Class"
"120","Frauenthal, Dr. Henry William","Male",50,"YES","1st Class"
"121","Frauenthal, Mr. Isaac Gerald","Male",43,"YES","1st Class"
"122","Frauenthal, Mrs. Henry William (Clara Heinsheimer)","Female",NA,"YES","1st Class"
"123","Frolicher, Miss. Hedwig Margaritha","Female",22,"YES","1st Class"
"124","Frolicher-Stehli, Mr. Maxmillian","Male",60,"YES","1st Class"
"125","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)","Female",48,"YES","1st Class"
"126","Fry, Mr. Richard","Male",NA,"NO","1st Class"
"127","Futrelle, Mr. Jacques Heath","Male",37,"NO","1st Class"
"128","Futrelle, Mrs. Jacques Heath (Lily May Peel)","Female",35,"YES","1st Class"
"129","Gee, Mr. Arthur H","Male",47,"NO","1st Class"
"130","Geiger, Miss. Amalie","Female",35,"YES","1st Class"
"131","Gibson, Miss. Dorothy Winifred","Female",22,"YES","1st Class"
"132","Gibson, Mrs. Leonard (Pauline C Boeson)","Female",45,"YES","1st Class"
"133","Giglio, Mr. Victor","Male",24,"NO","1st Class"
"134","Goldenberg, Mr. Samuel L","Male",49,"YES","1st Class"
"135","Goldenberg, Mrs. Samuel L (Edwiga Grabowska)","Female",NA,"YES","1st Class"
"136","Goldschmidt, Mr. George B","Male",71,"NO","1st Class"
"137","Gracie, Col. Archibald IV","Male",53,"YES","1st Class"
"138","Graham, Miss. Margaret Edith","Female",19,"YES","1st Class"
"139","Graham, Mr. George Edward","Male",38,"NO","1st Class"
"140","Graham, Mrs. William Thompson (Edith Junkins)","Female",58,"YES","1st Class"
"141","Greenfield, Mr. William Bertram","Male",23,"YES","1st Class"
"142","Greenfield, Mrs. Leo David (Blanche Strouse)","Female",45,"YES","1st Class"
"143","Guggenheim, Mr. Benjamin","Male",46,"NO","1st Class"
"144","Harder, Mr. George Achilles","Male",25,"YES","1st Class"
"145","Harder, Mrs. George Achilles (Dorothy Annan)","Female",25,"YES","1st Class"
